,PassengerId,Survived
0,892,0.0
1,893,1.0
2,894,0.0
3,895,0.0
4,896,1.0
5,897,1.0
6,898,1.0
7,899,1.0
8,900,1.0
9,901,1.0
10,902,
11,903,1.0
12,904,1.0
13,905,1.0
14,906,1.0
15,907,1.0
16,908,1.0
17,909,0.0
18,910,1.0
19,911,1.0
20,912,1.0
21,913,0.0
22,914,
23,915,1.0
24,916,1.0
25,917,0.0
26,918,1.0
27,919,0.0
28,920,1.0
29,921,
30,922,1.0
31,923,1.0
32,924,1.0
33,925,
34,926,1.0
35,927,0.0
36,928,
37,929,1.0
38,930,0.0
39,931,
40,932,0.0
41,933,
42,934,0.0
43,935,1.0
44,936,1.0
45,937,0.0
46,938,1.0
47,939,
48,940,1.0
49,941,1.0
50,942,1.0
51,943,1.0
52,944,1.0
53,945,1.0
54,946,
55,947,1.0
56,948,0.0
57,949,0.0
58,950,
59,951,1.0
60,952,1.0
61,953,1.0
62,954,0.0
63,955,1.0
64,956,1.0
65,957,
66,958,1.0
67,959,1.0
68,960,1.0
69,961,1.0
70,962,1.0
71,963,0.0
72,964,1.0
73,965,1.0
74,966,1.0
75,967,1.0
76,968,
77,969,1.0
78,970,1.0
79,971,1.0
80,972,1.0
81,973,1.0
82,974,1.0
83,975,
84,976,
85,977,
86,978,1.0
87,979,1.0
88,980,
89,981,1.0
90,982,1.0
91,983,
92,984,1.0
93,985,
94,986,1.0
95,987,0.0
96,988,1.0
97,989,0.0
98,990,1.0
99,991,0.0
100,992,1.0
101,993,1.0
102,994,
103,995,0.0
104,996,1.0
105,997,1.0
106,998,0.0
107,999,
108,1000,
109,1001,1.0
110,1002,1.0
111,1003,
112,1004,1.0
113,1005,1.0
114,1006,1.0
115,1007,1.0
116,1008,
117,1009,1.0
118,1010,1.0
119,1011,1.0
120,1012,1.0
121,1013,
122,1014,1.0
123,1015,0.0
124,1016,
125,1017,1.0
126,1018,0.0
127,1019,
128,1020,1.0
129,1021,0.0
